korean,actual translation,Google translation,Microsoft translation,DeepL translation
"그런데, 갑자기 어떤 늙은이를 줄 밖으로 밀어내겠다고 생각했어요.","So no, suddenly I wasn't averse to butting any geezer off the list.","Then, all of a sudden, I thought I was going to push some old guy out of the line.",But suddenly I thought I would push an old man out of the line.,"Suddenly, I thought I was going to push an old man out of line."
새로운 골반을 갖고 싶어하는 70살 먹은 노인 그래서 골프나 정원손질을 다시 할 수 있는,"Some 70-year-old who wanted his new hip so he could be back golfing, or gardening.",A 70-year-old man who wants a new pelvis so he can play golf or garden again.,A 70-year-old man who wants to have a new pelvis so he can play golf or take care of his garden again.,A 70-year-old man who wants a new pelvis so he can play golf or yard work again.
아니요. 맨 앞줄,"No, no. Front of the line.",no. front row,No. Front row,No. The first line
"그때까지 저는 로비를 걷고 있었고, 그리고 물론 제 골반때문에 고통스러웠죠. 저는 어떤 계시가 필요했답니다.","So by now I was walking the lobby, and of course, that hurt, because of my hip, and I kind of needed a sign.","By then I was walking through the lobby, and of course my pelvis was in pain. I needed some revelation.","Until then, I was walking in the lobby, and of course, I was in pain because of my pelvis. I needed some kind of revelation.","By then, I was walking in the lobby, and of course, my pelvis was in pain, and I needed some kind of revelation."
그리고 전 그 계시를 봤어요.,And I saw a sign.,And I saw the revelation.,And I saw that revelation.,And I saw the revelation.
"병원에 있던 조그만 선물가게 창문에서 그 계시가 있었어요. 그곳에 ""자원봉사자 모집"" 이라고 써있더군요.","In the window of the hospital's tiny gift shop there was a sign that said, ""Volunteers Needed."" Hmm.",The revelation came from the window of a small gift shop in the hospital. It said “Volunteers Recruiting” written there.,"There was a revelation in the window of a small gift shop in the hospital. It says ""Volunteer Recruitment"" there.","The revelation came in the window of a small gift shop in the hospital, where it said, ""Volunteers Wanted."""
"네, 저는 바로 고용되었어요.","Well, they signed me up immediately.","Yes, I was hired right away.","Yes, I was hired right away.","Yes, I was hired right away."
신원 증명이나 일반적으로 따지는 경력 따위도 필요없더군요.,"No reference checks. None of the usual background stuff, no.",There was no need for proof of identity or any typical work experience.,I didn't need proof of identity or work experience in general.,I didn't need to prove my identity or have any of the usual work experience.
그 사람들은 자원봉사자가 정말 필요했거든요. 왜나면 그 병원 선물가게의 평균 자원봉사자들 나이가 75세 였거든요.,They were desperate for volunteers because the average age of the volunteer at the hospital gift shop was 75.,They really needed volunteers. Because the average age of the volunteers at the hospital gift shop was 75 years old.,They really needed volunteers. Because the average age of the volunteers at the hospital's gift shop was 75 years old.,"They really needed volunteers, because the average age of the volunteers in the hospital gift shop was 75 years old."
"네, 그들은 젊은 피가 필요했어요.",Yeah. They needed some young blood.,"Yes, they needed young blood.","Yes, they needed young blood.","Yes, they needed young blood."
"그래서, 바로 전 밝은 파란색 자원봉사 자켓을 가지게 되었죠. 저는 사진이 담긴 ID카드를 가지게 되었고, 89살 보스에게서 교육을 받았습니다.","So, next thing you know, I had my bright blue volunteer vest, I had my photo ID, and I was fully trained by my 89-year-old boss.","So, I just happened to have a bright blue volunteer jacket. I got an ID card with a photo on it and received training from my 89-year-old boss.","So, I got a bright blue volunteer jacket right away. I got an ID card with a photo and was educated by an 89-year-old boss.","So, before I knew it, I had a bright blue volunteer jacket, I had a photo ID card, and I was trained by my 89-year-old boss."
저는 혼자 일했답니다.,I worked alone.,I worked alone.,I worked alone.,I was working alone.
매주 금요일 아침마다 저는 그 선물가게에 있었어요.,Every Friday morning I was at the gift shop.,Every Friday morning I was at the gift shop.,"Every Friday morning, I was at the gift shop.","Every Friday morning, I was in that gift shop."
"병원 직원의 사탕먹는 소리가 들리면 저는 그냥 편하게 ""뭐하고 계세요?"" 라고 묻곤 했죠.","While ringing in hospital staff's Tic Tacs, I'd casually ask, ""What do you do?""","When I hear the hospital staff eating candy, I just casually ask, “What are you doing?” I used to ask.","When I heard the hospital staff eating candy, I would just casually ask, ""What are you doing?""","If I heard a hospital employee eating candy, I would just casually ask, ""What are you doing?"""
"그러고선 그들에게 ""음, 저는 18개월 안에 제 엉덩이를 고칠겁니다"" 라고 이야기 했답니다.","Then I'd tell them, ""Well, I'm getting my hip replaced -- in 18 months.","And then I told them, ""Well, I'm going to get my butt fixed in 18 months.""","Then I told them, ""Well, I'm going to fix my butt in 18 months.""","And then he told them, ""Well, I'm going to fix my ass in 18 months."""
"이 아픈게 멈춘다면 정말 끝내줄겁니다., 우!","It's gonna be so great when the pain stops. Ow!""","It would be amazing if this pain stopped., Wow!","If this pain stops, it will be amazing, wow!","It would be awesome if this pain stopped, ugh!"
"모든 직원들이 이 씩씩하고, 젊은 자원봉사자를 알게 되었습니다.","All the staff got to know the plucky, young volunteer.","The entire staff got to know this spirited, young volunteer.",All the staff got to know this energetic and young volunteer.,"All the staff got to know this spunky, young volunteer."
"저의 다음 외과의사와의 진료약속이, 정말 우연하게도 바로 선물가게 근무시간 바로 다음이었습니다.","My next surgeon's appointment was, coincidentally, right after a shift at the gift shop.","My next appointment with the surgeon, coincidentally, was right after working hours at the gift shop.",My next appointment with the surgeon was right after the gift shop's working hours.,"My next surgeon's appointment was, quite coincidentally, right after gift shop hours."
"그래서, 자연스럽게 저는 제 조끼를 입고, 아이디 카드를 달고 있었죠.","So, naturally, I had my vest and my identification.","So, naturally, I wore my vest and ID card.","So, naturally, I was wearing my vest and wearing my ID card.","So, naturally, I was wearing my vest, and I was wearing my ID card."
저는 무심코 제 옷을 진료실 의자에 올려뒀었죠.,I draped them casually over the chair in the doctor's office.,I inadvertently left my clothes on the chair in the doctor's office.,I inadvertently put my clothes on the chair in the doctor's office.,I had unknowingly left my clothes on the chair in the exam room.
"그리고, 그 의사가 들어왔을 때 그가 그 걸처둔 것들을 보았구요.","And you know, when he walked in, I could just tell that he saw them.","And, when the doctor came in, he saw what he had left there.","And when the doctor came in, I saw what he had put away.","And then when the doctor came in, I saw what he had put there."
"잠시 뒤, 저는 불과 몇주 후로 수술 예약을 잡게 되었어요.. 그리고, 염치없이 페르코세트처방을 받았죠.","Moments later, I had a surgery date just weeks away, and a big fat prescription for Percocet.","After a while, I made an appointment for surgery just a few weeks later... and shamelessly got a prescription for Percocet.","After a while, I had an appointment for surgery just a few weeks later. And I was prescribed Percoset without hesitation.","Before I knew it, I was scheduled for surgery just a few weeks later... and was given a prescription for Percocet."
"지금, 이런 이야기가 떠돌고 있답니다. 저의 자원봉사활동이 저를 제일 앞줄로 오게 했다구요.","Now, word on the street was that it was actually my volunteering that got me to the front of the line.","Now, this story is going around. My volunteer work brought me to the front row.","Right now, this kind of story is circulating. My volunteer work put me in the front row.","Right now, there's a story going around. My volunteer work got me a front row seat."
"그리고, 아시다시피 저는 부끄러워하지 않았어요.","And, you know, I'm not even ashamed of that.","And, you know, I wasn't shy.","And, you know, I wasn't shy.","And, you know, I wasn't shy about it."
두가지 이유에서 말이죠.,Two reasons.,For two reasons.,For two reasons.,For two reasons.
첫번째는 저는 이 새로운 골반을 정말 잘 간직할 거예요.,"First of all, I am going to take such good care of this new hip.","First of all, I'm going to really cherish this new pelvis.","First, I'm going to keep this new pelvis really well.",The first is that I'm going to take really good care of this new pelvis.
"그리고, 또한 계속해서 자원봉사 활동을 할 겁니다. 그 봉사활동이 저를 가장 큰 깨닮음으로 이끌어주었으니까요.","But also I intend to stick with the volunteering, which actually leads me to the biggest epiphany of them all.","And, I will also continue to volunteer. Because that volunteer work led me to the greatest enlightenment.",And I'll continue to volunteer. That volunteer activity led me to the greatest awakening.,I will also continue to volunteer because it has led me to some of my biggest realizations.
"만약 캐나다인들이 규칙을 어긴다면, 사회에 도움이 되기 때문에 그러는 거랍니다!","Even when a Canadian cheats the system, they do it in a way that benefits society.","If Canadians break the rules, they do it because it helps society!","If Canadians break the rules, they do it because it helps society!","If Canadians break the rules, they do it because it's good for society!"
"안녕하세요. 여러분, 손을 위로 올려 흔들어주시겠습니까? 제가 하는 것처럼 따라하면 됩니다. 고상하게 흔들어주세요.","Hi. I'm going to ask you to raise your arms and wave back, just the way I am -- kind of a royal wave.","hello. Everyone, would you please raise your hands and wave? Just follow what I do. Please shake it gracefully.","Hello. Everyone, can you raise your hand up and wave it? Just follow along as I do. Shake it nobly.","hello. Everyone, can you put your hands up and wave, and you can do it just like I do. Give it a classy wave."
여러분은 눈에 보이는 것을 그대로 따라할 수 있습니다.,You can mimic what you can see.,You can just copy what you see.,You can copy what you see.,You can just copy what you see.
여러분은 팔의 수 백가지 근육을 자유자재로 움직일 수 있습니다.,You can program the hundreds of muscles in your arm.,You can freely move hundreds of muscles in your arms.,You can move hundreds of different muscles in your arms at will.,You have hundreds of muscles in your arm at your disposal.
머지않아 여러분은 단순히 근육을 움직이는 단계를 넘어 뇌의 수 백가지 영역들을 직접 들여다 보며 제어할 수 있을 것입니다.,"Soon, you'll be able to look inside your brain and program, control the hundreds of brain areas that you see there.","Soon, you will be able to go beyond just moving muscles and directly see and control hundreds of areas of the brain.","Soon, you'll be able to go beyond just moving your muscles and take control of hundreds of areas of your brain.","Soon, you'll be able to go beyond just moving muscles and look directly into and control hundreds of areas of the brain."
이는 제가 오늘 여러분에게 소개할 기술의 주제입니다.,I'm going to tell you about that technology.,This is the topic of technology I'm going to introduce to you today.,This is the topic of technology that I will introduce to you today.,This is the subject of the technique I'm going to introduce to you today.
사람들은 수 천 년동안 인간의 뇌와 마음 속을 읽고 싶어했습니다.,"People have wanted to look inside the human mind, the human brain, for thousands of years.",People have wanted to read the human brain and mind for thousands of years.,People have wanted to read the human brain and mind for thousands of years.,People have wanted to read the human brain and mind for thousands of years.
이에 대한 해결책의 실마리는 오늘날에 이르러서야 보이기 시작했습니다.,"Well, coming out of the research labs just now, for our generation, is the possibility to do that.",It is only today that clues to a solution to this problem have begun to appear.,Clues to a solution to this are only beginning to appear today.,It's only today that we're starting to see clues to a solution.
많은 사람들은 뇌를 읽는 것이 굉장히 어려운 작업일 것이라고 생각합니다.,People envision this as being very difficult.,Many people think that reading the brain would be an extremely difficult task.,Many people think that reading the brain is a very difficult task.,Many people think that reading the brain would be a very difficult task.
혈관 속으로 조그마한 캡슐을 집어넣는 것을 보통 생각하는데,"You had to take a spaceship, shrink it down, inject it into the bloodstream.",People usually think of inserting a small capsule into a blood vessel.,I usually think of putting a small capsule into a blood vessel.,We usually think of putting a tiny capsule into a blood vessel.
이는 굉장히 위험한 작업입니다. 동맥에서 당신의 몸이 백혈구의 공격을 받을 수 있기 때문이죠.,It was terribly dangerous. You could be attacked by white blood cells in the arteries.,This is extremely dangerous work. This is because your body can be attacked by white blood cells in your arteries.,This is a very dangerous task. This is because your body can be attacked by white blood cells in the arteries.,"This is a very dangerous thing to do. Because in the arteries, your body can be attacked by white blood cells."
하지만 이젠 이런 문제점을 피해가는 기술이 개발됐습니다.,"But now, we have a real technology to do this.","However, technology has now been developed to avoid these problems.","However, technology has now been developed to avoid these problems.","However, there are now techniques to avoid these problems."
제 동료인 피터의 뇌 속으로 들어가봅시다.,We're going to fly into my colleague Peter's brain.,Let's go inside the brain of my colleague Peter.,Let's go into the brain of my colleague Peter.,Let's get inside the brain of my colleague Peter.
MRI를 이용해 피터의 뇌를 들여다 볼 것입니다.,We're going to do it non-invasively using MRI.,We will use an MRI to look into Peter's brain.,An MRI will be used to look into Peter's brain.,We're going to use an MRI to look inside Peter's brain.
불필요하게 무엇을 삽입하거나 방사선을 이용할 필요가 전혀 없습니다.,We don't have to inject anything. We don't need radiation.,There is absolutely no need to insert anything unnecessarily or use radiation.,There is no need to insert anything unnecessarily or use radiation.,There is absolutely no need to insert anything or use radiation unnecessarily.
보시는 것처럼 피터의 뇌 구조를 적나라하게 볼 수 있습니다. 하지만 여기서 중요한 것은 우리가 피터의 마음을 읽을 수 있다는 것입니다.,"We will be able to fly into the anatomy of Peter's brain -- literally, fly into his body -- but more importantly, we can look into his mind.","As you can see, you can clearly see the structure of Peter's brain. But the important thing here is that we can read Peter's mind.","As you can see, you can see Peter's brain structure nakedly. But the important thing here is that we can read Peter's mind.","As you can see, we can see Peter's brain structure naked. But the important thing here is that we can read Peter's mind."
"피터가 팔을 움직이는 순간 피터의 뇌에 노란색 부분이 보이는데, 이것은 팔을 움직이면서 뇌의 어떤 부분이 활성화되는지 보여주는 것입니다.","When Peter moves his arm, that yellow spot you see there is the interface to the functioning of Peter's mind taking place.","The moment Peter moves his arm, a yellow area is visible in Peter's brain, showing which part of the brain is activated as he moves his arm.","The moment Peter moves his arm, you can see a yellow part of Peter's brain, which shows which part of his brain is activated when he moves his arm.","As Peter moves his arm, we see yellow areas in his brain, which shows which parts of his brain are activated as he moves his arm."
여러분들은 이미 전극을 이용해 로봇 팔을 움직일 수 있다는 것과 뇌 스캐너를 이용해 뇌 내부 구조를 볼 수 있다는 것을 알고 계실 것입니다.,"Now you've seen before that with electrodes you can control robotic arms, that brain imaging and scanners can show you the insides of brains.",You probably already know that electrodes can be used to move robotic arms and brain scanners can be used to view the internal structures of the brain.,You already know that you can use electrodes to move the robotic arm and that you can use a brain scanner to see the internal structure of the brain.,"You already know that electrodes can be used to move a robotic arm, and brain scanners can be used to see the inner workings of the brain."
이 기술과 기존 기술의 차이점은 며칠에서 몇 달까지 걸릴,What's new is that that process has typically taken days or months of analysis.,The difference between this technology and existing technologies is that it can take anywhere from days to months.,The difference between this technology and the traditional one can take anywhere from a few days to several months,The difference between this and traditional techniques is that it can take anywhere from a few days to a few months to
정보 처리 시간을 밀리초대로 줄였다는 점입니다. 덕분에 피터는 뇌 스캐너 속에 앉아 자신의 뇌 속 변화를 실시간으로 볼 수 있습니다.,"We've collapsed that through technology to milliseconds, and that allows us to let Peter to look at his brain in real time as he's inside the scanner.","The information processing time has been reduced to milliseconds. Thanks to this, Peter can sit in a brain scanner and see changes in his brain in real time.","The information processing time has been reduced to push invitations. Thanks to this, Peter can sit in a brain scanner and see the changes in his brain in real time.",The difference is that it reduces information processing time to milliseconds. This allows Peter to sit in a brain scanner and see changes in his brain in real time.
그는 초당 6만 5천 개의 뇌 활성 지점들을 감지할 수 있습니다.,"He can look at these 65,000 points of activation per second.","He can detect 65,000 points of brain activity per second.","He can detect 65,000 active brain points per second.","He can detect 65,000 active points in the brain per second."
이처럼 뇌 속 패턴 감지를 통해 피터는 자신의 뇌를 제어하는 방법을 배울 수 있습니다.,"If he can see this pattern in his own brain, he can learn how to control it.","Through this detection of patterns in his brain, Peter can learn how to control his brain.","In this way, through pattern detection in the brain, Peter can learn how to control his own brain.","By detecting these patterns in his brain, Peter can learn to control his brain."
"뇌에 변화를 주는 기존의 방법에는 세 가지가 있습니다. 바로 정신 치료, 약물 복용, 그리고 병원에서의 수술입니다.","There have been three ways to try to impact the therapist's couch, pills and the knife.","There are three existing ways to change the brain. These are psychotherapy, medication, and surgery in a hospital.","There are three conventional ways to make changes in the brain. It is psychotherapy, medication, and surgery in the hospital.","There are three traditional ways to change the brain. These are psychotherapy, medication, and surgery in a hospital."
이 기술은 뇌에 변화를 주기 위한 또다른 방법이 될 수 있습니다.,This is a fourth alternative that you are soon going to have.,This technique may be another way to effect changes in the brain.,This technology can be another way to change the brain.,This technology could be another way to change the brain.
우리는 생각을 통해 뇌 속 회로가 생성되고 변경된다는 사실을 알고 있습니다.,"We all know that as we form thoughts, they form deep channels in our minds and in our brains.",We know that thoughts create and change circuits in the brain.,"We know that through thoughts, circuits in the brain are created and changed.",We know that thoughts create and change circuits in the brain.
만성 통증을 예로 들어 봅시다. 손을 데이면 반사적으로 손을 치우게 됩니다.,"Chronic pain is an example. If you burn yourself, you pull your hand away.","Let's take chronic pain as an example. If you burn your hand, you will reflexively move it away.","Let's take chronic pain as an example. When you put your hand on it, you reflexively put your hand away.","Consider chronic pain as an example. When you slap your hand, your reflex is to move it away."
하지만 6달 혹은 6년이 지나도 통증이 지속된다면 이는 뇌 속 잘못된 회로가 불필요한 통증을 생성하고 있기 때문입니다.,"But if you're still in pain in six months' or six years' time, it's because these circuits are producing pain that's no longer helping you.","However, if pain persists even after 6 months or 6 years, it is because faulty circuits in the brain are creating unnecessary pain.","However, if the pain persists after 6 months or 6 years, it is because the wrong circuitry in the brain is producing unnecessary pain.","But if the pain persists after six months or six years, it's because the wrong circuitry in your brain is generating unnecessary pain."
만약 통증이 생성되는 동안 뇌에서 활성화되는 부분을 알 수 있다면 3D 모델을 통해 뇌 속에서 정보가 처리되는 모습을 실시간으로 보고 뇌 속 통증을 유발하는 부분들을 골라낼 수 있습니다.,"If we can look at the activation in the brain that's producing the pain, we can form 3D models and watch in real time the brain process information, and then we can select the areas that produce the pain.","If we can know which parts of the brain are activated while pain is generated, we can use a 3D model to see information being processed in the brain in real time and select the parts of the brain that cause pain.","If you can see which parts of the brain are active during pain generation, you can see information processing in the brain in real time through a 3D model and pick out the parts of the brain that cause pain.","If we know the parts of the brain that are activated during pain production, we can use 3D models to watch the information being processed in real time and pick out the parts of the brain that are causing the pain."
손을 다시 위로 올려서 팔을 굽혀보세요.,So put your arms back up and flex your bicep.,Bring your hand up again and bend your arm.,Raise your hands back up and bend your arms.,Bring your hand back up to bend your arm.
이제 여러분의 뇌 속을 직접 보고 팔을 굽힐 때 활성화되는 뇌 부분들을 골라낼 수 있다고 상상해보세요.,Now imagine that you will soon be able to look inside your brain and select brain areas to do that same thing.,Now imagine being able to look directly inside your brain and pick out the parts of your brain that are activated when you bend your arm.,Now imagine being able to see your brain and pick out the parts of your brain that are activated when you bend your arms.,Now imagine being able to look inside your brain and pick out the parts of your brain that are activated when you flex your arms.
지금 보이는 것은 만성 통증 환자의 뇌 속 경로들을 골라낸 것입니다.,"What you're seeing here is, we've selected the pathways in the brain of a chronic pain patient.",What you see now is a selection of pathways in the brain of chronic pain patients.,What we see now is a selection of pathways in the brain of chronic pain patients.,What you see here is a selection of pathways in the brain of a chronic pain patient.
