korean,actual translation,Google translation,Microsoft translation,DeepL translation,Google translation_bleurt,Google translation_comet,Microsoft translation_bleurt,Microsoft translation_comet,DeepL translation_bleurt,DeepL translation_comet,cosine_Google_translation,cosine_Microsoft_translation,cosine_DeepL_translation,Google translation_bleurt_minmax,Microsoft translation_bleurt_minmax,DeepL translation_bleurt_minmax
이 7째중에 막내인 제가 제일 앞 줄로 나가야만 했어요.,This youngest of seven had to get herself to the front of the line.,"As the youngest of the 7, I had to go to the front row.","As the youngest of these seven children, I had to go to the front row.","As the youngest of these seven, I had to go to the front of the line.",0.0186448991298675,0.7657609581947327,-0.0423421561717987,0.7723492980003357,0.0288111791014671,0.8421908020973206,0.73843926,0.7252495,0.83140737,0.5712534208534125,0.5727496860170241,0.5764769055876254
네 맞아요.,Oh yeah.,yes that's right.,Yes that's right.,"Yes, that's right.",0.3308123350143432,0.8054362535476685,0.3308123350143432,0.8018400073051453,0.3362200260162353,0.7928650379180908,0.70946836,0.7104378,0.71757436,0.6855393729938914,0.7021479072913747,0.69089308413071
제가 보통 캐나다 사람들이 어떤지 말했나요?,Can I tell you how un-Canadian that is?,Did I mention what Canadians are like in general?,Did I say what ordinary Canadians are like?,Did I mention what the average Canadian is like?,-0.3879249989986419,0.6920072436332703,-0.383160263299942,0.682712733745575,-0.5376253724098206,0.6343620419502258,0.7882015,0.7707072,0.7524718,0.4224062876230593,0.45456470397302245,0.36565179023558214
우리는 그런식으로 생각하지 않죠.,We do not think that way.,We don't think that way.,We don't think like that.,We don't think of it that way.,1.0180978775024414,0.962204933166504,0.3498792052268982,0.947570025920868,0.549832284450531,0.8911293148994446,0.9740003,0.9132729,0.92519253,0.9371578110064521,0.7087596971774643,0.7703985978636517
우린 그런 것에 관해 이야기조차 안하죠. 음.. 그건 아예 관심 밖이죠.,We don't talk about it. It's not even a consideration.,We don't even talk about that. Well... that's completely out of the question.,"We don't even talk about that. Well, that's not my interest at all.","We don't even talk about it because, well, it's just not on our radar.",0.3334705531597137,0.8539345264434814,0.3083605170249939,0.8806354403495789,-0.1305498927831649,0.8952624797821045,0.82573223,0.8416402,0.8484216,0.6865125590370801,0.6943623241594057,0.5171634374276645
"사실, 우리가 외국으로 여행 중에서 우리 캐나다인을 구별하는 방법이기도 해요","In fact, when we're traveling abroad, it's how we identify fellow Canadians.","In fact, it's how we distinguish ourselves as Canadians when we travel abroad.","In fact, it's also how we distinguish Canadians when we travel to foreign countries","In fact, it's how we distinguish us Canadians when we're traveling abroad.",0.4955614805221557,0.8649513721466064,0.4674731492996216,0.8588442206382751,0.5348989367485046,0.8636034727096558,0.94167936,0.918665,0.94815075,0.745854802453544,0.7495375721730929,0.7648404735804077
"""당신 뒤"" "" 아니요, 뒤에 있는 분이요""","""After you."" ""Oh, no, no. After you.""","“Behind you” “No, the one behind you”","""Behind you"" ""No, the one behind you""","""Behind you"" ""No, the person behind you""",-0.0139223858714103,0.6090953946113586,-0.0671463087201118,0.6136398911476135,-0.122427724301815,0.5994998216629028,0.67762816,0.68371236,0.68512464,0.5593303861382258,0.5641483873705386,0.520186471697647
"이봐요, 캐나다 사람인가요? ""어머, 저두요! 안녕하세요!""","Hey, are you from Canada? ""Oh, me too! Hi!""","Hey, are you Canadian? “Oh, me too! Hello!”","Hey, are you Canadian? ""Oh, that's it! Hello!""","Hey, are you Canadian? ""Hey, me too! hello!""",0.7330276370048523,0.9600221514701844,0.358633816242218,0.9225831627845764,0.7490957379341125,0.942404329776764,0.9732639,0.9334351,0.96646786,0.8327922682973815,0.7117955204626949,0.8445635514741453
"""와우! 반가워요!""","""Great! Excellent!""",“Wow! Nice to meet you!”,"""Wow! Nice to meet you!""","""Wow, nice to meet you!""",-0.0237194448709487,0.7485129237174988,-0.0251282453536987,0.7444286942481995,-0.0960562527179718,0.7020393013954163,0.64966834,0.6474612,0.6427393,0.5557436372104707,0.5787189279627852,0.5300018138111336
"그런데, 갑자기 어떤 늙은이를 줄 밖으로 밀어내겠다고 생각했어요.","So no, suddenly I wasn't averse to butting any geezer off the list.","Then, all of a sudden, I thought I was going to push some old guy out of the line.",But suddenly I thought I would push an old man out of the line.,"Suddenly, I thought I was going to push an old man out of line.",-0.4358256459236145,0.6387012600898743,-0.347274899482727,0.5795606970787048,-0.4663316309452057,0.5966643691062927,0.5073311,0.47055385,0.43270892,0.404869637695258,0.46700861757291057,0.39218699744997154
새로운 골반을 갖고 싶어하는 70살 먹은 노인 그래서 골프나 정원손질을 다시 할 수 있는,"Some 70-year-old who wanted his new hip so he could be back golfing, or gardening.",A 70-year-old man who wants a new pelvis so he can play golf or garden again.,A 70-year-old man who wants to have a new pelvis so he can play golf or take care of his garden again.,A 70-year-old man who wants a new pelvis so he can play golf or yard work again.,0.2125760018825531,0.7208721041679382,0.2009397745132446,0.7233493328094482,0.1057626754045486,0.7205168604850769,0.7435794,0.7374201,0.7343441,0.6422525007700821,0.6571121949574057,0.6051179034916708
아니요. 맨 앞줄,"No, no. Front of the line.",no. front row,No. Front row,No. The first line,0.1516421139240265,0.5946926474571228,0.1516421139240265,0.6122298240661621,-0.3330639004707336,0.6043120622634888,0.73522866,0.73202205,0.77436614,0.6199443205999422,0.640017319392718,0.441788642285608
"그때까지 저는 로비를 걷고 있었고, 그리고 물론 제 골반때문에 고통스러웠죠. 저는 어떤 계시가 필요했답니다.","So by now I was walking the lobby, and of course, that hurt, because of my hip, and I kind of needed a sign.","By then I was walking through the lobby, and of course my pelvis was in pain. I needed some revelation.","Until then, I was walking in the lobby, and of course, I was in pain because of my pelvis. I needed some kind of revelation.","By then, I was walking in the lobby, and of course, my pelvis was in pain, and I needed some kind of revelation.",0.1601474285125732,0.7531651854515076,0.0610825195908546,0.7695178389549255,0.2291653901338577,0.7741715908050537,0.62828445,0.63262266,0.6612333,0.623058155882768,0.6086141051669143,0.6510478342105634
그리고 전 그 계시를 봤어요.,And I saw a sign.,And I saw the revelation.,And I saw that revelation.,And I saw the revelation.,0.1407137066125869,0.8261409401893616,0.1768778264522552,0.8080363869667053,0.1407137066125869,0.8261410593986511,0.53331554,0.55278075,0.53331554,0.6159433797861507,0.6487682694438985,0.6181265187839711
"병원에 있던 조그만 선물가게 창문에서 그 계시가 있었어요. 그곳에 ""자원봉사자 모집"" 이라고 써있더군요.","In the window of the hospital's tiny gift shop there was a sign that said, ""Volunteers Needed."" Hmm.",The revelation came from the window of a small gift shop in the hospital. It said “Volunteers Recruiting” written there.,"There was a revelation in the window of a small gift shop in the hospital. It says ""Volunteer Recruitment"" there.","The revelation came in the window of a small gift shop in the hospital, where it said, ""Volunteers Wanted.""",-0.3396775722503662,0.7814751863479614,-0.1795339882373809,0.8092878460884094,0.0258591920137405,0.8548317551612854,0.8103025,0.8645805,0.85457575,0.44006989525923595,0.5251758808988639,0.5753781893825585
"네, 저는 바로 고용되었어요.","Well, they signed me up immediately.","Yes, I was hired right away.","Yes, I was hired right away.","Yes, I was hired right away.",0.1865751594305038,0.8746441602706909,0.1865751594305038,0.8746441602706909,0.1865751594305038,0.8746442198753357,0.7331842,0.7331842,0.7331842,0.6327334712541824,0.6521309990053245,0.6351959435143364
신원 증명이나 일반적으로 따지는 경력 따위도 필요없더군요.,"No reference checks. None of the usual background stuff, no.",There was no need for proof of identity or any typical work experience.,I didn't need proof of identity or work experience in general.,I didn't need to prove my identity or have any of the usual work experience.,-0.1209298968315124,0.7120611071586609,-0.3688839375972748,0.6680123209953308,-0.5862977504730225,0.7038541436195374,0.36064458,0.41919965,0.4720792,0.5201544380076726,0.45951528394965985,0.34753615187810877
그 사람들은 자원봉사자가 정말 필요했거든요. 왜나면 그 병원 선물가게의 평균 자원봉사자들 나이가 75세 였거든요.,They were desperate for volunteers because the average age of the volunteer at the hospital gift shop was 75.,They really needed volunteers. Because the average age of the volunteers at the hospital gift shop was 75 years old.,They really needed volunteers. Because the average age of the volunteers at the hospital's gift shop was 75 years old.,"They really needed volunteers, because the average age of the volunteers in the hospital gift shop was 75 years old.",0.5367676615715027,0.9263817071914672,0.4910203516483307,0.9205455183982848,0.5671713352203369,0.9286593198776244,0.9316297,0.9306685,0.9335396,0.7609405772460189,0.7577030000906956,0.7768521139174553
"네, 그들은 젊은 피가 필요했어요.",Yeah. They needed some young blood.,"Yes, they needed young blood.","Yes, they needed young blood.","Yes, they needed young blood.",0.8310607075691223,0.9506880640983582,0.8310607075691223,0.9506880640983582,0.8310607075691223,0.9506880640983582,0.9720681,0.9720681,0.972068,0.8686826320021933,0.8756182825191161,0.8750705414133059
"그래서, 바로 전 밝은 파란색 자원봉사 자켓을 가지게 되었죠. 저는 사진이 담긴 ID카드를 가지게 되었고, 89살 보스에게서 교육을 받았습니다.","So, next thing you know, I had my bright blue volunteer vest, I had my photo ID, and I was fully trained by my 89-year-old boss.","So, I just happened to have a bright blue volunteer jacket. I got an ID card with a photo on it and received training from my 89-year-old boss.","So, I got a bright blue volunteer jacket right away. I got an ID card with a photo and was educated by an 89-year-old boss.","So, before I knew it, I had a bright blue volunteer jacket, I had a photo ID card, and I was trained by my 89-year-old boss.",0.4017463624477386,0.8419243693351746,0.2900283932685852,0.8333069086074829,0.5477280616760254,0.9032962918281556,0.8159932,0.85509586,0.9137486,0.7115086507996153,0.688005321196048,0.7696154156908595
저는 혼자 일했답니다.,I worked alone.,I worked alone.,I worked alone.,I was working alone.,1.1196187734603882,0.9827561974525452,1.1196187734603882,0.9827561974525452,0.586385190486908,0.9477478861808776,0.99999994,1.0,0.9753387,0.9743250838318027,0.975681128719916,0.784003423701622
매주 금요일 아침마다 저는 그 선물가게에 있었어요.,Every Friday morning I was at the gift shop.,Every Friday morning I was at the gift shop.,"Every Friday morning, I was at the gift shop.","Every Friday morning, I was in that gift shop.",1.0542759895324707,0.9780308604240416,1.0197043418884275,0.9683439135551452,0.727156400680542,0.9474281668663024,1.0000001,0.9977827,0.96197116,0.9504027863136361,0.9410339516647691,0.8363978296560693
"병원 직원의 사탕먹는 소리가 들리면 저는 그냥 편하게 ""뭐하고 계세요?"" 라고 묻곤 했죠.","While ringing in hospital staff's Tic Tacs, I'd casually ask, ""What do you do?""","When I hear the hospital staff eating candy, I just casually ask, “What are you doing?” I used to ask.","When I heard the hospital staff eating candy, I would just casually ask, ""What are you doing?""","If I heard a hospital employee eating candy, I would just casually ask, ""What are you doing?""",-0.6108453273773193,0.7375923991203308,-0.528522789478302,0.7655608654022217,-0.6143216490745544,0.7675585150718689,0.733392,0.7274121,0.71161866,0.3407941171926574,0.4041575595550739,0.33710578392335966
"그러고선 그들에게 ""음, 저는 18개월 안에 제 엉덩이를 고칠겁니다"" 라고 이야기 했답니다.","Then I'd tell them, ""Well, I'm getting my hip replaced -- in 18 months.","And then I told them, ""Well, I'm going to get my butt fixed in 18 months.""","Then I told them, ""Well, I'm going to fix my butt in 18 months.""","And then he told them, ""Well, I'm going to fix my ass in 18 months.""",0.0693992376327514,0.7930589914321899,-0.1594477891921997,0.7177972197532654,-0.5231398344039917,0.6523600816726685,0.72941625,0.7161131,0.6207726,0.5898348205584376,0.5321411419100532,0.3710432417809798
"이 아픈게 멈춘다면 정말 끝내줄겁니다., 우!","It's gonna be so great when the pain stops. Ow!""","It would be amazing if this pain stopped., Wow!","If this pain stops, it will be amazing, wow!","It would be awesome if this pain stopped, ugh!",0.5553774833679199,0.8409205079078674,0.3814829587936401,0.879194974899292,0.4920754730701446,0.830187201499939,0.79148054,0.8723042,0.8472183,0.7677537196775545,0.7197188832350412,0.7489017746287311
"모든 직원들이 이 씩씩하고, 젊은 자원봉사자를 알게 되었습니다.","All the staff got to know the plucky, young volunteer.","The entire staff got to know this spirited, young volunteer.",All the staff got to know this energetic and young volunteer.,"All the staff got to know this spunky, young volunteer.",0.2520423531532287,0.9016889929771424,0.162172332406044,0.9116173386573792,0.5258429646492004,0.9244813919067384,0.9014185,0.8824647,0.91020024,0.6567013157776441,0.643668867406711,0.7614698818391672
"저의 다음 외과의사와의 진료약속이, 정말 우연하게도 바로 선물가게 근무시간 바로 다음이었습니다.","My next surgeon's appointment was, coincidentally, right after a shift at the gift shop.","My next appointment with the surgeon, coincidentally, was right after working hours at the gift shop.",My next appointment with the surgeon was right after the gift shop's working hours.,"My next surgeon's appointment was, quite coincidentally, right after gift shop hours.",0.511184573173523,0.895852267742157,0.2130902260541916,0.8213728070259094,0.4827120006084442,0.8908461928367615,0.9441755,0.8798855,0.9518594,0.7515744894349278,0.6613255887506334,0.7454167326473004
