video,index,start_time,end_time,korean subtitle,start_seconds,end_seconds,Google translation,Microsoft translation,DeepL translation
0000,29,0 days 00:01:07.220000,0 days 00:01:08.540000,She's so pretty,67.22,68.54,She's so pretty,She's so pretty,She's so pretty
0000,30,0 days 00:01:08.540000,0 days 00:01:09.940000,"Yeah, so loving",68.54,69.94,"Yeah, so loving","Yeah, so loving","Yeah, so loving"
0000,31,0 days 00:01:09.940000,0 days 00:01:11.460000,She got everything,69.94,71.46,She got everything,She got everything,She got everything
0000,32,0 days 00:01:11.460000,0 days 00:01:13.380000,Why am I not her?,71.46,73.38,Why am I not her?,Why am I not her?,Why am I not her?
0000,33,0 days 00:01:13.380000,0 days 00:01:14.300000,"Love me, love me",73.38,74.3,"Love me, love me","Love me, love me","Love me, love me"
0000,34,0 days 00:01:14.300000,0 days 00:01:16.340000,"Love me, love me, love me what?",74.3,76.34,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
0000,35,0 days 00:01:16.340000,0 days 00:01:19.140000,빌어먹을 My core energy,76.34,79.14,Damn my core energy,My core energy,Damn my core energy
0000,36,0 days 00:01:21.780000,0 days 00:01:23.860000,난 춤을 못 춰,81.78,83.86,i can't dance,I can't dance,I can't dance
0000,37,0 days 00:01:24.520000,0 days 00:01:27.440000,내 화면 속엔 내 탐보이,84.52,87.44,On my screen is my tomboy,My tamboy on my screen,On my screen is my tamboy
0000,38,0 days 00:01:27.440000,0 days 00:01:29.040000,비웃을 거야,87.44,89.04,They will laugh at you,I'm going to laugh at you,They'll laugh at you
0000,39,0 days 00:01:29.040000,0 days 00:01:31.040000,"그래, good boy",89.04,91.04,"Yeah, good boy","yes, good boy","Yeah, good boy"
0000,40,0 days 00:01:33.040000,0 days 00:01:34.520000,I'll get this off from her,93.04,94.52,I'll get this off from her,I'll get this off from her,I'll get this off from her
0000,41,0 days 00:01:34.520000,0 days 00:01:35.920000,"Do it, do my stuff",94.52,95.92,"Do it, do my stuff","Do it, do my stuff","Do it, do my stuff"
0000,42,0 days 00:01:35.920000,0 days 00:01:38.720000,내가 뭔데 성격까지 좋지 않아,95.92,98.72,What am I? I don’t even have a good personality.,I don't have a good personality,"What am I, a bad personality?"
0000,43,0 days 00:01:38.720000,0 days 00:01:40.320000,"그래, 맞아",98.72,100.32,"yes, that's right","yes, that's right","Yeah, right."
0000,44,0 days 00:01:40.320000,0 days 00:01:46.160000,나는 평생 혼자일지도,100.32,106.16,I might be alone for the rest of my life,I might be alone for the rest of my life,I may be alone for the rest of my life
0000,45,0 days 00:01:46.160000,0 days 00:01:49.040000,Please give me your like button,106.16,109.04,Please give me your like button,Please give me your like button,Please give me your like button
0000,46,0 days 00:01:49.040000,0 days 00:01:51.280000,나도 사랑받고 싶거든,109.04,111.28,Because I want to be loved too,I want to be loved too,Because I want to be loved too
0000,47,0 days 00:01:51.280000,0 days 00:01:52.040000,Oh damn,111.28,112.04,Oh damn,Oh damn,Oh damn
0000,48,0 days 00:01:52.040000,0 days 00:01:53.440000,"All right, all right",112.04,113.44,"All right, all right","All right, all right","All right, all right"
0000,49,0 days 00:01:53.620000,0 days 00:01:55.140000,"Oh my, oh my",113.62,115.14,"Oh my, oh my","Oh my, oh my","Oh my, oh my"
0000,50,0 days 00:01:55.140000,0 days 00:01:56.580000,빌어먹을 My name,115.14,116.58,Damn my name,My Name,Damn My name
0000,51,0 days 00:01:56.580000,0 days 00:01:57.820000,Why you pretty?,116.58,117.82,Why are you pretty?,Why you pretty?,Why you pretty?
0000,52,0 days 00:01:57.820000,0 days 00:01:59.420000,Why you loving?,117.82,119.42,Why do you love?,Why you loving?,Why you loving?
0000,53,0 days 00:01:59.420000,0 days 00:02:00.700000,Why you sexy?,119.42,120.7,Why are you sexy?,Why you sexy?,Why you sexy?
0000,54,0 days 00:02:00.700000,0 days 00:02:02.700000,Why am I me?,120.7,122.7,Why am I me?,Why am I me?,Why am I me?
0000,55,0 days 00:02:02.700000,0 days 00:02:03.620000,"Love me, love me",122.7,123.62,"Love me, love me","Love me, love me","Love me, love me"
0000,56,0 days 00:02:03.620000,0 days 00:02:05.620000,"Love me, love me, love me what?",123.62,125.62,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
0000,57,0 days 00:02:05.620000,0 days 00:02:06.500000,"Love me, love me",125.62,126.5,"Love me, love me","Love me, love me","Love me, love me"
0000,58,0 days 00:02:06.500000,0 days 00:02:08.180000,"Love me, love me, love me what?",126.5,128.18,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
0000,59,0 days 00:02:08.180000,0 days 00:02:09.460000,She's so pretty,128.18,129.46,She's so pretty,She's so pretty,She's so pretty
0000,60,0 days 00:02:09.460000,0 days 00:02:10.860000,"Yeah, so loving",129.46,130.86,"Yeah, so loving","Yeah, so loving","Yeah, so loving"
0000,61,0 days 00:02:10.860000,0 days 00:02:12.380000,She got everything,130.86,132.38,She got everything,She got everything,She got everything
0000,62,0 days 00:02:12.380000,0 days 00:02:14.340000,Why am I not her?,132.38,134.34,Why am I not her?,Why am I not her?,Why am I not her?
0000,63,0 days 00:02:14.340000,0 days 00:02:15.260000,"Love me, love me",134.34,135.26,"Love me, love me","Love me, love me","Love me, love me"
0000,64,0 days 00:02:15.260000,0 days 00:02:17.260000,"Love me, love me, love me what?",135.26,137.26,"Love me, love me, love me what?","Love me, love me, love me what?","Love me, love me, love me what?"
0000,65,0 days 00:02:17.260000,0 days 00:02:19.860000,빌어먹을 My core energy,137.26,139.86,Damn my core energy,My core energy,Damn my core energy
0000,66,0 days 00:02:23.540000,0 days 00:02:43.540000,La la la,143.54,163.54,La la la,La la la,La la la la
0000,67,0 days 00:02:43.540000,0 days 00:02:46.540000,빌어먹을 My core energy,163.54,166.54,Damn my core energy,My core energy,Damn my core energy
0000,68,0 days 00:02:53.440000,0 days 00:02:56.700000,"And when you wake up, you'll be a queen",173.44,176.7,"And when you wake up, you'll be a queen","And when you wake up, you'll be a queen","And when you wake up, you'll be a queen"
0001,1,0 days 00:00:00,0 days 00:00:10,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,0.0,10.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,2,0 days 00:00:30,0 days 00:00:40,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,30.0,40.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,3,0 days 00:01:00,0 days 00:01:10,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,60.0,70.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,4,0 days 00:01:30,0 days 00:01:40,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,90.0,100.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,5,0 days 00:02:00,0 days 00:02:10,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,120.0,130.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,6,0 days 00:02:30,0 days 00:02:40,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,150.0,160.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,7,0 days 00:03:00,0 days 00:03:10,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,180.0,190.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0001,8,0 days 00:03:30,0 days 00:03:40,이 영상은 K-POP 뮤직비디오의 유료 광고를 포함하고 있습니다.,210.0,220.0,This video contains a paid advertisement for a K-POP music video.,This video contains paid advertisements for K-pop music videos.,This video contains paid ads from a K-POP music video.
0002,1,0 days 00:00:00,0 days 00:00:03.920000,야! 야! 야! 속도 좀 줄여! 너무 빠르잖아!,0.0,3.92,hey! hey! hey! Slow down! That's too fast!,Hey man! Hey man! Hey man! Slow down! It's so fast!,Hey! Hey! Hey! Hey! Slow down! You're going too fast!
0002,2,0 days 00:00:03.920000,0 days 00:00:05.300000,브레이크! 브레이크!,3.92,5.3,brake! brake!,Break! Break!,Brake! Brake!
0002,3,0 days 00:00:08.880000,0 days 00:00:10,"야, 이게 뭐야?",8.88,10.0,"Hey, what is this?","Hey, what is this?","Hey, what's this?"
0002,4,0 days 00:00:10,0 days 00:00:10.600000,뭐야?,10.0,10.6,what?,What the heck?,What is it?
0002,5,0 days 00:00:11.360000,0 days 00:00:13.420000,뭐야 이거? 잠깐만 브레이크야?,11.36,13.42,"What is this? Wait a minute, is it a brake?","What is this? Wait a minute, brake?","What is this, a brake?"
0002,6,0 days 00:00:14.600000,0 days 00:00:16.100000,"맞네, 브레이크!",14.6,16.1,"That's right, brake!","That's right, Brake!","That's right, brakes!"
0002,7,0 days 00:00:16.100000,0 days 00:00:18.300000,어? 지금 브레이크가 부러진 거야?,16.1,18.3,uh? Are your brakes broken now?,Huh? Is the brake broken now?,Huh? Did you just break a brake?
0002,8,0 days 00:00:18.720000,0 days 00:00:19.520000,대박사건!,18.72,19.52,Awesome event!,Great Doctor's Case!,The big one!
0002,9,0 days 00:00:20.320000,0 days 00:00:22.080000,"야, 지금 감탈할 때야?",20.32,22.08,"Hey, is it time to panic?","Hey, is it time to indulge in it?","Dude, is it time to lose weight?"
0002,10,0 days 00:00:22.080000,0 days 00:00:23.920000,"아우, 미치겠네 진짜! 뭐야 이거?",22.08,23.92,"Oh, I'm really going crazy! What is this?","Oh, I'm going crazy, really! What is this?","Oh, my God! What is this?"
0002,11,0 days 00:00:25.820000,0 days 00:00:27.440000,브레이크 한 번에 차에서!,25.82,27.44,Break the car in one go!,Brake in the car at once!,From the car with a single brake!
0002,12,0 days 00:00:27.440000,0 days 00:00:29.640000,"어떡해! 주식아, 이제 우리 어떡해?",27.44,29.64,"oh my god! Stock, what should we do now?","What should I do! Stocks, what should we do now?","Oh, my God, Stock, what are we going to do now?"
0002,13,0 days 00:00:30.240000,0 days 00:00:33.200000,일단 악질해서 발을 좀 떼! 그럼 속도가 좀 줄 거야!,30.24,33.2,"First of all, be vicious and take your foot off the hook! Then it will slow down a bit!","Once you get angry, take your feet off! Then it will give you some speed!","Just be mean and step away, it'll slow you down!"
0002,14,0 days 00:00:33.200000,0 days 00:00:34.560000,"어어, 알았어!",33.2,34.56,"Oh, okay!","Uh, got it!","Uhhh, okay!"
0002,15,0 days 00:00:35.320000,0 days 00:00:37.720000,"아, 뭐야! 떼는데도 속도가 안 줄어!",35.32,37.72,"Oh, what! Even when I take it off, the speed doesn’t decrease!","Oh, what is it! Even if you take it off, the speed doesn't slow down!","Oh, no, it's not slowing down when I pull it off!"
0002,16,0 days 00:00:37.720000,0 days 00:00:40.080000,"주식아, 어떡해!",37.72,40.08,"Stock, what should I do!","Stocks, what should I do?","Stock, oh my!"
0002,17,0 days 00:00:40.080000,0 days 00:00:42.680000,미치겠네! 이러다가 사고가 나는데?,40.08,42.68,I'm going crazy! What if an accident happens like this?,I'm going crazy! Do you have an accident like this?,"Oh, my God, I'm going to get in an accident."
0002,18,0 days 00:00:44.080000,0 days 00:00:45.080000,사이드! 사이드!,44.08,45.08,Side! Side!,Side! Side!,Side! Side!
0002,19,0 days 00:00:47.160000,0 days 00:00:47.660000,뭐야?,47.16,47.66,what?,What the heck?,What is it?
0002,20,0 days 00:00:48.760000,0 days 00:00:50.760000,"아이씨, 뭐 이런 차가 다 있어 진짜!",48.76,50.76,"Hey, there are all these cars!","Ai, what a car like this!","Oh, my God, there are all these cars!"
0002,21,0 days 00:00:50.760000,0 days 00:00:54.160000,"주식아, 어떡해! 어떡하냐고!",50.76,54.16,"Stock, what should I do! What should I do!","Stocks, what should I do? What should I do!","Stock, what can I do? What can I do?"
0002,22,0 days 00:00:54.160000,0 days 00:00:57.100000,"수아야, 안 되겠다! 우리 그냥 신고하자!",54.16,57.1,"Su-ya, this can’t be done! Let’s just report it!","Sua, I can't do it! Let's just report it!","Suya, no! Let's just report it!"
0002,23,0 days 00:00:57.100000,0 days 00:00:58.440000,"119, 119, 119!",57.1,58.44,"119, 119, 119!","119, 119, 119!","119, 119, 119, 119!"
0002,24,0 days 00:00:59.120000,0 days 00:01:01.120000,"핸드폰, 핸드폰, 핸드폰!",59.12,61.12,"Cell phone, cell phone, cell phone!","Cellphone, cellphone, cellphone!","Cell phones, cell phones, cell phones!"
0002,25,0 days 00:01:06.960000,0 days 00:01:07.960000,아이씨!,66.96,67.96,Ai!,Ai-c!,ICY!
0002,26,0 days 00:01:09.280000,0 days 00:01:11.280000,차 위에 핸드폰 놓고 왔나봐!,69.28,71.28,I must have left my phone on the car!,I guess I left my cell phone in the car!,I left my phone on the car!
0002,27,0 days 00:01:12.400000,0 days 00:01:14.400000,"수아야, 너 핸드폰 좀 줘! 핸드폰!",72.4,74.4,"Su-ya, give me your cell phone! cell phone!","Sua, give me your cell phone! Cellphone!","Suya, can I have your cell phone? Cell phone!"
0002,28,0 days 00:01:14.400000,0 days 00:01:15.880000,"어, 내 핸드폰! 내 핸드폰!",74.4,75.88,"Oh, my cell phone! my cell phone!","Uh, my cell phone! My cell phone!","Uh, my phone! My phone!"
0002,29,0 days 00:01:17.600000,0 days 00:01:18.400000,내 핸드폰!,77.6,78.4,my cell phone!,My cell phone!,My phone!
0002,30,0 days 00:01:18.880000,0 days 00:01:19.880000,내 핸드폰 어디 갔지?,78.88,79.88,Where is my cell phone?,Where did my phone go?,Where's my phone?
0002,31,0 days 00:01:24.360000,0 days 00:01:27.360000,"아이씨, 어떡해! 나도 집에 두고 왔나봐!",84.36,87.36,"Ai, what should I do! I guess I left it at home too!","Child, what should I do! I guess I left it at home too!","Oh, my God, I must have left it at home!"
0002,32,0 days 00:01:27.680000,0 days 00:01:28.680000,"아이씨, 진짜!",87.68,88.68,"Hey, really!","Oh, really!","Oh, my!"
0002,33,0 days 00:01:29.680000,0 days 00:01:31.680000,안 되겠다! 어쩔 수 없지 뭐!,89.68,91.68,It won't work! It can't be helped!,No way! It can't be helped!,Oh no! What the heck!
0002,34,0 days 00:01:33.680000,0 days 00:01:35.080000,"야, 너 지금 뭐 하는 거야!",93.68,95.08,"Hey, what are you doing!","Hey, what are you doing now!","Hey, what the hell are you doing!"
0002,35,0 days 00:01:35.080000,0 days 00:01:37.080000,준기 오빠가 그쪽 차 한번 건드리지 말랬잖아!,95.08,97.08,Junki oppa told me not to touch that car even once!,Jun-gi didn't even touch that car!,I told you not to touch your car!
0002,36,0 days 00:01:37.080000,0 days 00:01:38.880000,슬픈 전설이 있다고!,97.08,98.88,There is a sad legend!,There is a sad legend!,There's a sad legend!
0002,37,0 days 00:01:38.880000,0 days 00:01:40.880000,그럼 어떡해! 차 위에 핸드폰이 있는데!,98.88,100.88,Then what should I do! There's a cell phone on top of the car!,So what to do! I have a cell phone in the car!,"What can I do, I have my phone on top of my car!"
0002,38,0 days 00:01:43.360000,0 days 00:01:45.360000,"뭐야? 이거 왜, 왜 이거밖에 안 열려?",103.36,105.36,"what? Why is this, why is this the only one that opens?",What the heck? Why is this the only thing open?,"What is this, why is this, why is this the only thing that opens?"
0002,39,0 days 00:01:46.280000,0 days 00:01:47.280000,미치겠네!,106.28,107.28,I'm going crazy!,I'm going crazy!,Crazy!
0002,40,0 days 00:01:47.280000,0 days 00:01:49.080000,과연 간 이준기 진짜!,107.28,109.08,Is Lee Joon-gi really gone?,"As expected, Lee Joon-gi is real!","Really, really, really!"
0002,41,0 days 00:01:49.080000,0 days 00:01:51.080000,진짜 가지가게 한다 정말!,109.08,111.08,It really makes things go away!,"It really makes me branch, really!","I'll let you have it, really!"
0002,42,0 days 00:01:58.080000,0 days 00:02:00.080000,"탈까? 아, 탈 것 같아!",118.08,120.08,"Shall we ride? Ah, I think I'm going to ride!","Shall I ride it? Oh, I think I'm going to ride!","Should I? Oh, I think so!"
0002,43,0 days 00:02:01.080000,0 days 00:02:02.080000,"야, 야, 야, 야, 야!",121.08,122.08,"Hey, hey, hey, hey, hey!","Hey, hey, hey, hey!","Hey, hey, hey, hey, hey, hey!"
0002,44,0 days 00:02:02.080000,0 days 00:02:03.080000,"잠깐만, 왜 울려!",122.08,123.08,"Wait a minute, why is it ringing?","Wait, why are you ringing!","Wait, why is it ringing!"
0002,45,0 days 00:02:03.080000,0 days 00:02:04.080000,내가 안 울렸어!,123.08,124.08,I didn't make you cry!,I didn't cry!,I didn't ring!
0002,46,0 days 00:02:04.080000,0 days 00:02:05.080000,"야, 야, 야, 야!",124.08,125.08,"Hey, hey, hey, hey!",Hey hey hey hey!,"Hey, hey, hey, hey, hey!"
0002,47,0 days 00:02:05.080000,0 days 00:02:06.080000,"수아야, 아프다!",125.08,126.08,"Suya, it hurts!","Sua, it hurts!","Suya, it hurts!"
0002,48,0 days 00:02:06.080000,0 days 00:02:07.080000,"어떻게 좀 해봐, 이거!",126.08,127.08,Do something about this!,How do you do this!,"Do something about this, man!"
0002,49,0 days 00:02:07.080000,0 days 00:02:08.080000,"야, 야, 야!",127.08,128.08,"Hey, hey, hey!",Hey hey hey!,"Hey, hey, hey!"
0002,50,0 days 00:02:08.080000,0 days 00:02:09.080000,저 자리에 잘린다!,128.08,129.08,It's cut right there!,Cut in that place!,You're fired!
0002,51,0 days 00:02:09.080000,0 days 00:02:10.080000,"야, 수아야, 밖에 춥다!",129.08,130.08,"Hey, Suya, it’s cold outside!","Hey, Sua, it's cold outside!","Hey, Sue, it's cold outside!"
0002,52,0 days 00:02:10.080000,0 days 00:02:11.080000,"야, 수아야!",130.08,131.08,"Hey, Suya!","Hey, Sua!","Hey, Sue!"
0002,53,0 days 00:02:11.080000,0 days 00:02:12.080000,뭐야? 이것도 안 되는데?,131.08,132.08,what? Doesn’t this work either?,What the heck? This doesn't work either?,What? This doesn't work either?
0002,54,0 days 00:02:12.080000,0 days 00:02:13.080000,어?,132.08,133.08,uh?,Huh?,Huh?
0002,55,0 days 00:02:13.080000,0 days 00:02:14.080000,"아이씨, 뭐 이러는 척하다니까 진짜!",133.08,134.08,"Ai, you’re pretending to do something like this, really!","Ai, what are you pretending to do?","Oh, my God, I can't believe you're pretending!"
0002,56,0 days 00:02:14.080000,0 days 00:02:15.080000,"야, 야, 수아야!",134.08,135.08,"Hey, hey, Suya!","Hey, hey, sua!","Hey, hey, Sue!"
0002,57,0 days 00:02:16.080000,0 days 00:02:17.080000,어떡해!,136.08,137.08,oh my god!,What should I do!,Oh no!
0002,58,0 days 00:02:17.080000,0 days 00:02:18.080000,"저 앞에 큰 게, 큰 게!",137.08,138.08,"There’s a big crab in front of you, a big crab!","Big crab in front of me, big crab!","Big crab up ahead, big crab!"
0002,59,0 days 00:02:18.080000,0 days 00:02:19.080000,"큰 게, 큰 게!",138.08,139.08,"Big crab, big crab!","Big crab, big crab!","Big crab, big crab!"
0002,60,0 days 00:02:19.080000,0 days 00:02:21.080000,"좌회전! 좌회전, 좌회전, 좌회전!",139.08,141.08,"left! Turn left, turn left, turn left!","Turn left! Turn left, turn left, turn left!","Turn left, turn left, turn left, turn left!"
0002,61,0 days 00:02:21.080000,0 days 00:02:22.080000,일단 저 공통!,141.08,142.08,"First of all, that’s common!","First of all, that's common!","First of all, that common!"
0002,62,0 days 00:02:22.080000,0 days 00:02:24.080000,"저 공통으로 들어가, 빨리!",142.08,144.08,"Get in there, quickly!","Go into that common, quickly!","Get in that common, quick!"
0002,63,0 days 00:02:24.080000,0 days 00:02:25.080000,"어, 알았어!",144.08,145.08,"Oh, okay!","Uh, okay!","Uh, okay!"
0002,64,0 days 00:02:25.800000,0 days 00:02:26.800000,"야, 야, 야, 야!",145.8,146.8,"Hey, hey, hey, hey!",Hey hey hey hey!,"Hey, hey, hey, hey, hey!"
0002,65,0 days 00:02:26.800000,0 days 00:02:27.800000,"천천히, 야, 천천히!",146.8,147.8,"Slow down, hey, slow down!","Slow, hey, slow!","Slow down, hey, slow down!"
0002,66,0 days 00:02:27.800000,0 days 00:02:28.800000,"들어가, 들어가!",147.8,148.8,"Go in, go in!","Go in, go in!","Get in, get in!"
0002,67,0 days 00:02:28.800000,0 days 00:02:29.800000,"쭉 들어가, 쭉 들어가!",148.8,149.8,"Go all the way in, go all the way in!","Go in, go in!","Go in, go in, go in!"
0002,68,0 days 00:02:29.800000,0 days 00:02:30.800000,어떻게 해?,149.8,150.8,How do I do it?,How to do it?,How do I do it?
0002,69,0 days 00:02:30.800000,0 days 00:02:31.800000,어떻게 해?,150.8,151.8,How do I do it?,How to do it?,How do I do it?
0002,70,0 days 00:02:31.800000,0 days 00:02:32.800000,어떻게 해?,151.8,152.8,How do I do it?,How to do it?,How do I do it?
0002,71,0 days 00:02:32.800000,0 days 00:02:33.800000,어떻게 해?,152.8,153.8,How do I do it?,How to do it?,How do I do it?
0002,72,0 days 00:02:33.800000,0 days 00:02:34.800000,어떻게 해?,153.8,154.8,How do I do it?,How to do it?,How do I do it?
0002,73,0 days 00:02:34.800000,0 days 00:02:35.800000,어떻게 해?,154.8,155.8,How do I do it?,How to do it?,How do I do it?
0002,74,0 days 00:02:35.800000,0 days 00:02:36.800000,어떻게 해?,155.8,156.8,How do I do it?,How to do it?,How do I do it?
0002,75,0 days 00:02:36.800000,0 days 00:02:37.800000,"진짜 빡냐? 어, 뭐야?",156.8,157.8,"Are you really mad? Uh, what is it?","Is it really tight? Uh, what is it?","Are you really tight? Uh, what?"
0002,76,0 days 00:02:37.800000,0 days 00:02:38.800000,"수, 수, 수식아!",157.8,158.8,"Number, number, number!","Number, number, formula!","Numbers, numbers, numbers, formulas!"
0002,77,0 days 00:02:38.800000,0 days 00:02:39.800000,"니, 니, 니 이제 어떻게 해?",158.8,159.8,"You, you, you, what do you do now?","You, you, what are you doing now?","You, you, you, what do you do now?"
0002,78,0 days 00:02:39.800000,0 days 00:02:40.800000,어?,159.8,160.8,uh?,Huh?,Huh?
0002,79,0 days 00:02:40.800000,0 days 00:02:41.800000,"야, 일단 저 앞에서 돌아, 계속 돌아, 돌아!",160.8,161.8,"Hey, turn in front of me first, keep turning, turn!","Hey, turn around in front of me once, keep turning, turn around!","Hey, just turn around in front of me, keep turning, keep turning, keep turning!"
0002,80,0 days 00:02:41.800000,0 days 00:02:42.800000,"돌기만, 돌기만 해!",161.8,162.8,"Just spin, just spin!","Just turn, just turn!","Circle, circle, circle!"
0002,81,0 days 00:02:42.800000,0 days 00:02:43.800000,뭐? 계속 돌라고?,162.8,163.8,what? Keep spinning?,What? Keep turning?,What? Keep spinning?
0002,82,0 days 00:02:43.800000,0 days 00:02:44.800000,그럼 어떻게 해?,163.8,164.8,So what should I do?,So what to do?,So what do you do?
0002,83,0 days 00:02:44.800000,0 days 00:02:45.800000,밖으로 나가보면 타고 날지도 모르는데!,164.8,165.8,"If you go outside, you might be able to ride it!","If you go outside, you might get on and fly!",Get out there and you might just fly!
0002,84,0 days 00:02:45.800000,0 days 00:02:47.800000,"그러니까 운전 전수는 갑자기 왜 화장을 해가지고, 이씨!",165.8,167.8,"So why did the driving instructor suddenly put on makeup, Mr. Lee?","So, why did you suddenly put on makeup, Mr. Lee!","So why is the driver suddenly wearing makeup, Mr. Lee!"
